vuln_id,cwe_id,score,chain,dataset,summary,published_date,chain_len,project,commit_href,commit_sha,patch
GHSA-p6j9-7xhc-rhwp,,,{'https://github.com/medialize/URI.js/commit/a1ad8bcbc39a4d136d7e252e76e957f3ece70839'},osv,Hostname spoofing via backslashes in URL nan,2021-03-01,1,https://github.com/medialize/URI.js,https://github.com/medialize/URI.js/commit/a1ad8bcbc39a4d136d7e252e76e957f3ece70839,a1ad8bcbc39a4d136d7e252e76e957f3ece70839,SINGLE
GHSA-mq5c-prh3-3f3h,,,{'https://github.com/tensorflow/tensorflow/commit/c5b0d5f8ac19888e46ca14b0e27562e7fbbee9a9'},osv,Invalid validation in `QuantizeAndDequantizeV2` nan,2021-05-21,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/c5b0d5f8ac19888e46ca14b0e27562e7fbbee9a9,c5b0d5f8ac19888e46ca14b0e27562e7fbbee9a9,SINGLE
GHSA-9v62-24cr-58cx,,,{'https://github.com/sass/node-sass/commit/338fd7a14d3b8bd374a382336df16f9c6792b884'},osv,Denial of Service in node-sass nan,2020-09-11,1,https://github.com/sass/node-sass,https://github.com/sass/node-sass/commit/338fd7a14d3b8bd374a382336df16f9c6792b884,338fd7a14d3b8bd374a382336df16f9c6792b884,SINGLE
GHSA-h6wf-hvwc-fm77,,,"{'https://github.com/chakra-core/ChakraCore/commit/d797e3f00e34c12c8c0ae52f56344325439dccd7', 'https://github.com/chakra-core/ChakraCore/commit/d85b5025b047f10784c53c6c1dd771775d417f5f'}",osv,Out-of-bounds write nan,2021-03-29,2,https://github.com/chakra-core/ChakraCore,https://github.com/chakra-core/ChakraCore/commit/d797e3f00e34c12c8c0ae52f56344325439dccd7,d797e3f00e34c12c8c0ae52f56344325439dccd7,MULTI
GHSA-h6wf-hvwc-fm77,,,"{'https://github.com/chakra-core/ChakraCore/commit/d797e3f00e34c12c8c0ae52f56344325439dccd7', 'https://github.com/chakra-core/ChakraCore/commit/d85b5025b047f10784c53c6c1dd771775d417f5f'}",osv,Out-of-bounds write nan,2021-03-29,2,https://github.com/chakra-core/ChakraCore,https://github.com/chakra-core/ChakraCore/commit/d85b5025b047f10784c53c6c1dd771775d417f5f,d85b5025b047f10784c53c6c1dd771775d417f5f,MULTI
GHSA-5c8j-xr24-2665,,,{'https://github.com/tojocky/node-printer/commit/e001e38738c17219a1d9dd8c31f7d82b9c0013c7'},osv,Potential Command Injection in printer nan,2017-11-28,1,https://github.com/tojocky/node-printer,https://github.com/tojocky/node-printer/commit/e001e38738c17219a1d9dd8c31f7d82b9c0013c7,e001e38738c17219a1d9dd8c31f7d82b9c0013c7,SINGLE
GHSA-qg48-85hg-mqc5,,,{'https://github.com/tensorflow/tensorflow/commit/da5ff2daf618591f64b2b62d9d9803951b945e9f'},osv,Division by 0 in `DenseCountSparseOutput` nan,2021-05-21,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/da5ff2daf618591f64b2b62d9d9803951b945e9f,da5ff2daf618591f64b2b62d9d9803951b945e9f,SINGLE
GHSA-5xf4-f2fq-f69j,,,{'https://github.com/yarnpkg/yarn/commit/039bafd74b7b1a88a53a54f8fa6fa872615e90e7'},osv,Improper link resolution before file access (Link Following) nan,2020-02-14,1,https://github.com/yarnpkg/yarn,https://github.com/yarnpkg/yarn/commit/039bafd74b7b1a88a53a54f8fa6fa872615e90e7,039bafd74b7b1a88a53a54f8fa6fa872615e90e7,SINGLE
GHSA-2ccx-2gf3-8xvv,,,{'https://github.com/getkirby-v2/panel/commit/7f9ac1876bacb89fd8f142f5e561a02ebb725baa'},osv,.dev domains and some reverse proxy setups were treated as local in Kirby nan,2021-01-14,1,https://github.com/getkirby-v2/panel,https://github.com/getkirby-v2/panel/commit/7f9ac1876bacb89fd8f142f5e561a02ebb725baa,7f9ac1876bacb89fd8f142f5e561a02ebb725baa,SINGLE
GHSA-3rcw-9p9x-582v,,,{'https://github.com/tensorflow/tensorflow/commit/8b202f08d52e8206af2bdb2112a62fafbc546ec7'},osv,Code injection in `saved_model_cli` nan,2021-11-10,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/8b202f08d52e8206af2bdb2112a62fafbc546ec7,8b202f08d52e8206af2bdb2112a62fafbc546ec7,SINGLE
GHSA-g78m-2chm-r7qv,,,{'https://github.com/faye/websocket-extensions-node/commit/29496f6838bfadfe5a2f85dff33ed0ba33873237'},osv,Regular Expression Denial of Service in websocket-extensions (NPM package) nan,2020-06-05,1,https://github.com/faye/websocket-extensions-node,https://github.com/faye/websocket-extensions-node/commit/29496f6838bfadfe5a2f85dff33ed0ba33873237,29496f6838bfadfe5a2f85dff33ed0ba33873237,SINGLE
GHSA-xw22-wv29-3299,,,{'https://github.com/creharmony/node-etsy-client/commit/b4beb8ef080366c1a87dbf9e163051a446acaa7d'},osv,ApiKey secret could be revelated on network issue nan,2021-04-06,1,https://github.com/creharmony/node-etsy-client,https://github.com/creharmony/node-etsy-client/commit/b4beb8ef080366c1a87dbf9e163051a446acaa7d,b4beb8ef080366c1a87dbf9e163051a446acaa7d,SINGLE
GHSA-46f2-3v63-3xrp,,,{'https://github.com/ruby/tmpdir/commit/93798c01cb7c10476e50a4d80130a329ba47f348'},osv,Path traversal in Tempfile on Windows nan,2021-05-06,1,https://github.com/ruby/tmpdir,https://github.com/ruby/tmpdir/commit/93798c01cb7c10476e50a4d80130a329ba47f348,93798c01cb7c10476e50a4d80130a329ba47f348,SINGLE
GHSA-5fw9-fq32-wv5p,,,{'https://github.com/mikaelbr/node-notifier/commit/5d62799dab88505a709cd032653b2320c5813fce'},osv,OS Command Injection in node-notifier nan,2020-12-21,1,https://github.com/mikaelbr/node-notifier,https://github.com/mikaelbr/node-notifier/commit/5d62799dab88505a709cd032653b2320c5813fce,5d62799dab88505a709cd032653b2320c5813fce,SINGLE
GHSA-cf2j-vf36-c6w8,,,"{'https://github.com/DSpace/DSpace/commit/277b499a5cd3a4f5eb2370513a1b7e4ec2a6e041', 'https://github.com/DSpace/DSpace/commit/c3bea16ab911606e15ae96c97a1575e1ffb14f8a'}",osv,Communities and collections administrators can escalate their privilege up to system administrator nan,2021-11-01,2,https://github.com/DSpace/DSpace,https://github.com/DSpace/DSpace/commit/277b499a5cd3a4f5eb2370513a1b7e4ec2a6e041,277b499a5cd3a4f5eb2370513a1b7e4ec2a6e041,MULTI
GHSA-cf2j-vf36-c6w8,,,"{'https://github.com/DSpace/DSpace/commit/277b499a5cd3a4f5eb2370513a1b7e4ec2a6e041', 'https://github.com/DSpace/DSpace/commit/c3bea16ab911606e15ae96c97a1575e1ffb14f8a'}",osv,Communities and collections administrators can escalate their privilege up to system administrator nan,2021-11-01,2,https://github.com/DSpace/DSpace,https://github.com/DSpace/DSpace/commit/c3bea16ab911606e15ae96c97a1575e1ffb14f8a,c3bea16ab911606e15ae96c97a1575e1ffb14f8a,MULTI
GHSA-gwp4-hfv6-p7hw,,,{'https://github.com/FasterXML/jackson-databind/commit/ad418eeb974e357f2797aef64aa0e3ffaaa6125b'},osv,Deserialization of untrusted data in FasterXML jackson-databind nan,2019-08-01,1,https://github.com/FasterXML/jackson-databind,https://github.com/FasterXML/jackson-databind/commit/ad418eeb974e357f2797aef64aa0e3ffaaa6125b,ad418eeb974e357f2797aef64aa0e3ffaaa6125b,SINGLE
GHSA-26rr-v2j2-25fh,,,{'https://github.com/OpenMage/magento-lts/commit/b99307d00b59c4a226a1e3e4083f02cf2fc8fce7'},osv,Layout XML Arbitrary Code Fix  nan,2021-08-30,1,https://github.com/OpenMage/magento-lts,https://github.com/OpenMage/magento-lts/commit/b99307d00b59c4a226a1e3e4083f02cf2fc8fce7,b99307d00b59c4a226a1e3e4083f02cf2fc8fce7,SINGLE
GHSA-fm93-fhh2-cg2c,,,{'https://github.com/bpmn-io/min-dash/pull/21/commits/5ab05cbc4fd8d5eafb7db540c491ed0906b9d320'},osv,Prototype Pollution in min-dash nan,2022-01-27,1,https://github.com/bpmn-io/min-dash,https://github.com/bpmn-io/min-dash/pull/21/commits/5ab05cbc4fd8d5eafb7db540c491ed0906b9d320,5ab05cbc4fd8d5eafb7db540c491ed0906b9d320,SINGLE
GHSA-5w25-hxp5-h8c9,,,{'https://github.com/TogaTech/tEnvoy/commit/a121b34a45e289d775c62e58841522891dee686b'},osv,Improper Verification of Cryptographic Signature nan,2021-06-21,1,https://github.com/TogaTech/tEnvoy,https://github.com/TogaTech/tEnvoy/commit/a121b34a45e289d775c62e58841522891dee686b,a121b34a45e289d775c62e58841522891dee686b,SINGLE
