cve_id,cve_href,cwe_id,vuln_type,publish_date,update_date,score,acces_level,access,complexity,authentication,confidentiality,integrity,availability,summary,refs,code_refs,source
CVE-2020-35457,https://www.cvedetails.com/cve/CVE-2020-35457/,CWE-190,Overflow,2020-12-14,2021-07-21,4.6,None,Local,Low,Not required,Partial,Partial,Partial,"** DISPUTED ** GNOME GLib before 2.65.3 has an integer overflow, that might lead to an out-of-bounds write, in g_option_group_add_entries. NOTE: the vendor's position is ""Realistically this is not a security issue. The standard pattern is for callers to provide a static list of option entries in a fixed number of calls to g_option_group_add_entries()."" The researcher states that this pattern is undocumented.","{'https://gitlab.gnome.org/GNOME/glib/-/releases/2.65.3', 'https://gitlab.gnome.org/GNOME/glib/-/commit/63c5b62f0a984fac9a9700b12f54fe878e016a5d', 'https://gitlab.gnome.org/GNOME/glib/-/issues/2197'}",{'https://gitlab.gnome.org/GNOME/glib/-/commit/63c5b62f0a984fac9a9700b12f54fe878e016a5d'},gitlab
CVE-2020-28030,https://www.cvedetails.com/cve/CVE-2020-28030/,CWE-400,,2020-11-02,2021-07-21,5.0,None,Remote,Low,Not required,None,None,Partial,"In Wireshark 3.2.0 to 3.2.7, the GQUIC dissector could crash. This was addressed in epan/dissectors/packet-gquic.c by correcting the implementation of offset advancement.","{'https://lists.debian.org/debian-lts-announce/2021/02/msg00008.html', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/UHZSVK7PO2LTGFQXFHFXY6SOMSQ7UPRS/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/V2667E6WKVE56G66BVBVD7LJPIDOJ7K3/', 'https://gitlab.com/wireshark/wireshark/-/issues/16887', 'https://gitlab.com/wireshark/wireshark/-/commit/b287e7165e8aa89cde6ae37e7c257c5d87d16b9b', 'https://www.wireshark.org/security/wnpa-sec-2020-15.html'}",{'https://gitlab.com/wireshark/wireshark/-/commit/b287e7165e8aa89cde6ae37e7c257c5d87d16b9b'},gitlab
CVE-2020-26575,https://www.cvedetails.com/cve/CVE-2020-26575/,CWE-835,,2020-10-06,2021-02-11,5.0,None,Remote,Low,Not required,None,None,Partial,"In Wireshark through 3.2.7, the Facebook Zero Protocol (aka FBZERO) dissector could enter an infinite loop. This was addressed in epan/dissectors/packet-fbzero.c by correcting the implementation of offset advancement.","{'https://lists.debian.org/debian-lts-announce/2021/02/msg00008.html', 'https://security.gentoo.org/glsa/202011-08', 'https://gitlab.com/wireshark/wireshark/-/merge_requests/473', 'https://gitlab.com/wireshark/wireshark/-/merge_requests/472', 'https://www.wireshark.org/security/wnpa-sec-2020-14.html', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/UHZSVK7PO2LTGFQXFHFXY6SOMSQ7UPRS/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/V2667E6WKVE56G66BVBVD7LJPIDOJ7K3/', 'https://gitlab.com/wireshark/wireshark/-/issues/16887', 'https://gitlab.com/wireshark/wireshark/-/merge_requests/467', 'https://www.oracle.com/security-alerts/cpujan2021.html', 'https://gitlab.com/wireshark/wireshark/-/merge_requests/471', 'https://gitlab.com/wireshark/wireshark/-/commit/3ff940652962c099b73ae3233322b8697b0d10ab'}",{'https://gitlab.com/wireshark/wireshark/-/commit/3ff940652962c099b73ae3233322b8697b0d10ab'},gitlab
CVE-2020-25866,https://www.cvedetails.com/cve/CVE-2020-25866/,CWE-476,,2020-10-06,2021-01-20,5.0,None,Remote,Low,Not required,None,None,Partial,"In Wireshark 3.2.0 to 3.2.6 and 3.0.0 to 3.0.13, the BLIP protocol dissector has a NULL pointer dereference because a buffer was sized for compressed (not uncompressed) messages. This was addressed in epan/dissectors/packet-blip.c by allowing reasonable compression ratios and rejecting ZIP bombs.","{'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6IGRYKW4XLR44YDWTAH547ODYYBYPB2D/', 'https://www.wireshark.org/security/wnpa-sec-2020-13.html', 'https://gitlab.com/wireshark/wireshark/-/issues/16866', 'http://lists.opensuse.org/opensuse-security-announce/2020-11/msg00035.html', 'https://gitlab.com/wireshark/wireshark/-/commit/4a948427100b6c109f4ec7b4361f0d2aec5e5c3f', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/4DQHPKZFQ7W3X34RYN3FWFYCFJD4FXJW/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/ZUHMK5HYTUUDXA64T2TAMAFMYV674QBW/', 'http://lists.opensuse.org/opensuse-security-announce/2020-11/msg00038.html', 'https://www.oracle.com/security-alerts/cpujan2021.html'}",{'https://gitlab.com/wireshark/wireshark/-/commit/4a948427100b6c109f4ec7b4361f0d2aec5e5c3f'},gitlab
CVE-2020-25863,https://www.cvedetails.com/cve/CVE-2020-25863/,,,2020-10-06,2021-02-10,5.0,None,Remote,Low,Not required,None,None,Partial,"In Wireshark 3.2.0 to 3.2.6, 3.0.0 to 3.0.13, and 2.6.0 to 2.6.20, the MIME Multipart dissector could crash. This was addressed in epan/dissectors/packet-multipart.c by correcting the deallocation of invalid MIME parts.","{'https://lists.debian.org/debian-lts-announce/2021/02/msg00008.html', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6IGRYKW4XLR44YDWTAH547ODYYBYPB2D/', 'https://gitlab.com/wireshark/wireshark/-/commit/5803c7b87b3414cdb8bf502af50bb406ca774482', 'http://lists.opensuse.org/opensuse-security-announce/2020-11/msg00035.html', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/4DQHPKZFQ7W3X34RYN3FWFYCFJD4FXJW/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/ZUHMK5HYTUUDXA64T2TAMAFMYV674QBW/', 'http://lists.opensuse.org/opensuse-security-announce/2020-11/msg00038.html', 'https://www.oracle.com/security-alerts/cpujan2021.html', 'https://gitlab.com/wireshark/wireshark/-/issues/16741', 'https://www.wireshark.org/security/wnpa-sec-2020-11.html'}",{'https://gitlab.com/wireshark/wireshark/-/commit/5803c7b87b3414cdb8bf502af50bb406ca774482'},gitlab
CVE-2020-25862,https://www.cvedetails.com/cve/CVE-2020-25862/,CWE-354,,2020-10-06,2021-02-10,5.0,None,Remote,Low,Not required,None,None,Partial,"In Wireshark 3.2.0 to 3.2.6, 3.0.0 to 3.0.13, and 2.6.0 to 2.6.20, the TCP dissector could crash. This was addressed in epan/dissectors/packet-tcp.c by changing the handling of the invalid 0xFFFF checksum.","{'https://lists.debian.org/debian-lts-announce/2021/02/msg00008.html', 'https://gitlab.com/wireshark/wireshark/-/commit/7f3fe6164a68b76d9988c4253b24d43f498f1753', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6IGRYKW4XLR44YDWTAH547ODYYBYPB2D/', 'http://lists.opensuse.org/opensuse-security-announce/2020-11/msg00035.html', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/4DQHPKZFQ7W3X34RYN3FWFYCFJD4FXJW/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/ZUHMK5HYTUUDXA64T2TAMAFMYV674QBW/', 'http://lists.opensuse.org/opensuse-security-announce/2020-11/msg00038.html', 'https://www.oracle.com/security-alerts/cpujan2021.html', 'https://gitlab.com/wireshark/wireshark/-/issues/16816', 'https://www.wireshark.org/security/wnpa-sec-2020-12.html'}",{'https://gitlab.com/wireshark/wireshark/-/commit/7f3fe6164a68b76d9988c4253b24d43f498f1753'},gitlab
CVE-2020-24977,https://www.cvedetails.com/cve/CVE-2020-24977/,CWE-125,,2020-09-04,2021-07-06,6.4,None,Remote,Low,Not required,Partial,None,Partial,GNOME project libxml2 v2.9.10 has a global buffer over-read vulnerability in xmlEncodeEntitiesInternal at libxml2/entities.c. The issue has been fixed in commit 50f06b3e.,"{'https://gitlab.gnome.org/GNOME/libxml2/-/commit/50f06b3efb638efb0abd95dc62dca05ae67882c2', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/O7MEWYKIKMV2SKMGH4IDWVU3ZGJXBCPQ/', 'http://lists.opensuse.org/opensuse-security-announce/2020-09/msg00061.html', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/JCHXIWR5DHYO3RSO7RAHEC6VJKXD2EH2/', 'http://lists.opensuse.org/opensuse-security-announce/2020-09/msg00036.html', 'https://gitlab.gnome.org/GNOME/libxml2/-/issues/178', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/5KTUAGDLEHTH6HU66HBFAFTSQ3OKRAN3/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/J3ICASXZI2UQYFJAOQWHSTNWGED3VXOE/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/2NQ5GTDYOVH26PBCPYXXMGW5ZZXWMGZC/', 'https://lists.debian.org/debian-lts-announce/2020/09/msg00009.html', 'https://lists.apache.org/thread.html/rf9fa47ab66495c78bb4120b0754dd9531ca2ff0430f6685ac9b07772@%3Cdev.mina.apache.org%3E', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/ENEHQIBMSI6TZVS35Y6I4FCTYUQDLJVP/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/H3IQ7OQXBKWD3YP7HO6KCNOMLE5ZO2IR/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/674LQPJO2P2XTBTREFR5LOZMBTZ4PZAY/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/7KQXOHIE3MNY3VQXEN7LDQUJNIHOVHAW/', 'https://security.netapp.com/advisory/ntap-20200924-0001/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/RIQAMBA2IJUTQG5VOP5LZVIZRNCKXHEQ/'}",{'https://gitlab.gnome.org/GNOME/libxml2/-/commit/50f06b3efb638efb0abd95dc62dca05ae67882c2'},gitlab
CVE-2020-16131,https://www.cvedetails.com/cve/CVE-2020-16131/,CWE-79,XSS,2020-08-03,2020-08-04,4.3,None,Remote,Medium,Not required,None,Partial,None,"Tiki before 21.2 allows XSS because [\s\/""\'] is not properly considered in lib/core/TikiFilter/PreventXss.php.","{'https://gitlab.com/tikiwiki/tiki/-/commit/d12d6ea7b025d3b3f81c8a71063fe9f89e0c4bf1', 'https://tiki.org/News'}",{'https://gitlab.com/tikiwiki/tiki/-/commit/d12d6ea7b025d3b3f81c8a71063fe9f89e0c4bf1'},gitlab
CVE-2020-16118,https://www.cvedetails.com/cve/CVE-2020-16118/,CWE-476,,2020-07-29,2020-08-18,5.0,None,Remote,Low,Not required,None,None,Partial,"In GNOME Balsa before 2.6.0, a malicious server operator or man in the middle can trigger a NULL pointer dereference and client crash by sending a PREAUTH response to imap_mbox_connect in libbalsa/imap/imap-handle.c.","{'https://gitlab.gnome.org/GNOME/balsa/-/issues/23', 'http://lists.opensuse.org/opensuse-security-announce/2020-08/msg00035.html', 'http://lists.opensuse.org/opensuse-security-announce/2020-08/msg00045.html', 'https://gitlab.gnome.org/GNOME/balsa/-/commit/4e245d758e1c826a01080d40c22ca8706f0339e5'}",{'https://gitlab.gnome.org/GNOME/balsa/-/commit/4e245d758e1c826a01080d40c22ca8706f0339e5'},gitlab
CVE-2020-16117,https://www.cvedetails.com/cve/CVE-2020-16117/,CWE-476,,2020-07-29,2020-08-11,4.3,None,Remote,Medium,Not required,None,None,Partial,"In GNOME evolution-data-server before 3.35.91, a malicious server can crash the mail client with a NULL pointer dereference by sending an invalid (e.g., minimal) CAPABILITY line on a connection attempt. This is related to imapx_free_capability and imapx_connect_to_server.","{'https://gitlab.gnome.org/GNOME/evolution-data-server/-/commit/627c3cdbfd077e59aa288c85ff8272950577f1d7', 'https://lists.debian.org/debian-lts-announce/2020/08/msg00005.html', 'https://gitlab.gnome.org/GNOME/evolution-data-server/-/issues/189', 'https://gitlab.gnome.org/GNOME/evolution-data-server/-/commit/2cc39592b532cf0dc994fd3694b8e6bf924c9ab5'}","{'https://gitlab.gnome.org/GNOME/evolution-data-server/-/commit/627c3cdbfd077e59aa288c85ff8272950577f1d7', 'https://gitlab.gnome.org/GNOME/evolution-data-server/-/commit/2cc39592b532cf0dc994fd3694b8e6bf924c9ab5'}",gitlab
