cve_id,cve_href,cwe_id,vuln_type,publish_date,update_date,score,acces_level,access,complexity,authentication,confidentiality,integrity,availability,summary,github,refs
CVE-2012-6453,https://www.cvedetails.com/cve/CVE-2012-6453/,CWE-79,XSS,2012-12-31,2012-12-31,4.3,None,Remote,Medium,Not required,None,Partial,Partial,Cross-site scripting (XSS) vulnerability in the RSS Reader extension before 0.2.6 for MediaWiki allows remote attackers to inject arbitrary web script or HTML via a crafted feed.,[],"['https://www.mediawiki.org/wiki/Extension:RSS_Reader#0.2.6', 'https://bugs.debian.org/696179']"
CVE-2012-6432,https://www.cvedetails.com/cve/CVE-2012-6432/,CWE-264,,2012-12-27,2012-12-27,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"Symfony 2.0.x before 2.0.20, 2.1.x before 2.1.5, and 2.2-dev, when the internal routes configuration is enabled, allows remote attackers to access arbitrary services via vectors involving a URI beginning with a /_internal substring.",[],['https://symfony.com/blog/security-release-symfony-2-0-20-and-2-1-5-released']
CVE-2012-6431,https://www.cvedetails.com/cve/CVE-2012-6431/,CWE-264,Bypass,2012-12-27,2013-01-07,6.4,None,Remote,Low,Not required,Partial,Partial,Partial,"Symfony 2.0.x before 2.0.20 does not process URL encoded data consistently within the Routing and Security components, which allows remote attackers to bypass intended URI restrictions via a doubly encoded string.",[],['https://symfony.com/blog/security-release-symfony-2-0-20-and-2-1-5-released']
CVE-2012-6428,https://www.cvedetails.com/cve/CVE-2012-6428/,CWE-255,,2012-12-23,2013-01-08,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,"Carlo Gavazzi EOS-Box with firmware before 1.0.0.1080_2.1.10 establishes multiple hardcoded accounts, which makes it easier for remote attackers to obtain administrative access by reading a password in a PHP script, a similar issue to CVE-2012-5862.",[],['http://www.us-cert.gov/control_systems/pdf/ICSA-12-354-02.pdf']
CVE-2012-6427,https://www.cvedetails.com/cve/CVE-2012-6427/,CWE-89,Exec Code Sql,2012-12-23,2012-12-24,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"Multiple SQL injection vulnerabilities in Carlo Gavazzi EOS-Box with firmware before 1.0.0.1080_2.1.10 allow remote attackers to execute arbitrary SQL commands via unspecified vectors, a similar issue to CVE-2012-5861.",[],['http://www.us-cert.gov/control_systems/pdf/ICSA-12-354-02.pdf']
CVE-2012-6422,https://www.cvedetails.com/cve/CVE-2012-6422/,CWE-264,+Priv,2012-12-17,2012-12-21,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"The kernel in Samsung Galaxy S2, Galaxy Note 2, MEIZU MX, and possibly other Android devices, when running an Exynos 4210 or 4412 processor, uses weak permissions (0666) for /dev/exynos-mem, which allows attackers to read or write arbitrary physical memory and gain privileges via a crafted application, as demonstrated by ExynosAbuse.",[],"['https://www.securityweek.com/new-vulnerability-exposed-samsungs-android-devices', 'http://www.sammobile.com/2012/12/16/major-vulnerability-found-on-exynos-4-devices/', 'http://project-voodoo.org/articles/instant-fix-app-for-exynos-mem-abuse-vulnerability-no-root-required-reversible', 'http://osvdb.org/88467', 'https://forum.xda-developers.com/showthread.php?t=2051290', 'https://forum.xda-developers.com/showthread.php?p=35469999', 'https://arstechnica.com/security/2012/12/developer-warns-of-critical-vulnerability-in-many-samsung-smartphones/']"
CVE-2012-6371,https://www.cvedetails.com/cve/CVE-2012-6371/,CWE-310,,2012-12-31,2013-01-02,3.3,None,Local Network,Low,Not required,Partial,None,None,"The WPA2 implementation on the Belkin N900 F9K1104v1 router establishes a WPS PIN based on 6 digits of the LAN/WLAN MAC address, which makes it easier for remote attackers to obtain access to a Wi-Fi network by reading broadcast packets, a different vulnerability than CVE-2012-4366.",[],['http://ednolo.alumnos.upv.es/?p=1295']
CVE-2012-6369,https://www.cvedetails.com/cve/CVE-2012-6369/,CWE-79,XSS,2012-12-28,2013-01-08,4.3,None,Remote,Medium,Not required,None,Partial,Partial,Cross-site scripting (XSS) vulnerability in the Troubleshooting Reporting System feature in AgileBits 1Password 3.9.9 might allow remote attackers to inject arbitrary web script or HTML via a crafted User-Agent HTTP header that is not properly handled in a View Troubleshooting Report action.,[],"['https://www.youtube.com/watch?v=A1kPL9ggRi4', 'http://packetstormsecurity.org/files/118467/Agilebits-1Password-3.9.9-Cross-Site-Scripting.html']"
CVE-2012-6339,https://www.cvedetails.com/cve/CVE-2012-6339/,CWE-79,XSS,2012-12-31,2012-12-31,4.3,None,Remote,Medium,Not required,None,Partial,Partial,"Multiple cross-site scripting (XSS) vulnerabilities in the administrative web interface in Cerberus FTP Server before 5.0.6.0 allow (1) remote attackers to inject arbitrary web script or HTML via a log entry that is not properly handled within the Log Manager component, and might allow (2) remote authenticated administrators to inject arbitrary web script or HTML via a Messages field to the servermanager program.",[],"['http://www.cerberusftp.com/products/releasenotes.html', 'https://sadgeeksinsnow.blogspot.com/2012/12/persistence-is-key-another-bug-hunt.html', 'http://archives.neohapsis.com/archives/bugtraq/2012-12/0118.html']"
CVE-2012-6337,https://www.cvedetails.com/cve/CVE-2012-6337/,CWE-200,+Info,2012-12-31,2012-12-31,3.3,None,Local Network,Low,Not required,Partial,None,None,"The Track My Mobile feature in the SamsungDive subsystem for Android on Samsung Galaxy devices shows the activation of remote tracking, which might allow physically proximate attackers to defeat a product-recovery effort by tampering with this feature or its location data.",[],['https://thehackernews.com/2012/12/manufacture-based-gps-tracking-services.html']
CVE-2012-6336,https://www.cvedetails.com/cve/CVE-2012-6336/,,,2012-12-31,2013-01-08,3.3,None,Local Network,Low,Not required,None,Partial,Partial,"The Missing Device feature in Lookout allows physically proximate attackers to provide arbitrary location data via a ""commonly available simple GPS location spoofer.""",[],['https://thehackernews.com/2012/12/manufacture-based-gps-tracking-services.html']
CVE-2012-6335,https://www.cvedetails.com/cve/CVE-2012-6335/,,,2012-12-31,2012-12-31,3.3,None,Local Network,Low,Not required,None,Partial,Partial,"The Anti-theft service in AVG AntiVirus for Android allows physically proximate attackers to provide arbitrary location data via a ""commonly available simple GPS location spoofer.""",[],['https://thehackernews.com/2012/12/manufacture-based-gps-tracking-services.html']
CVE-2012-6334,https://www.cvedetails.com/cve/CVE-2012-6334/,CWE-264,,2012-12-31,2015-11-10,2.9,None,Local Network,Medium,Not required,None,Partial,Partial,"The Track My Mobile feature in the SamsungDive subsystem for Android on Samsung Galaxy devices does not properly implement Location APIs, which allows physically proximate attackers to provide arbitrary location data via a ""commonly available simple GPS location spoofer.""",[],['https://thehackernews.com/2012/12/manufacture-based-gps-tracking-services.html']
CVE-2012-6333,https://www.cvedetails.com/cve/CVE-2012-6333/,CWE-399,DoS,2012-12-13,2017-08-28,4.7,None,Local,Medium,Not required,None,None,None,Multiple HVM control operations in Xen 3.4 through 4.2 allow local HVM guest OS administrators to cause a denial of service (physical CPU consumption) via a large input.,[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/80484', 'http://www.securityfocus.com/bid/56796', 'http://support.citrix.com/article/CTX135777', 'https://www.openwall.com/lists/oss-security/2012/12/03/10', 'https://security.gentoo.org/glsa/glsa-201309-24.xml', 'http://lists.opensuse.org/opensuse-security-announce/2012-12/msg00001.html', 'http://lists.opensuse.org/opensuse-security-announce/2014-03/msg00021.html']"
CVE-2012-6325,https://www.cvedetails.com/cve/CVE-2012-6325/,CWE-200,+Info,2012-12-21,2013-01-08,4.0,None,Remote,Low,Single system,Partial,None,None,"VMware vCenter Server Appliance (vCSA) 5.0 before Update 2 does not properly parse XML documents, which allows remote authenticated users to read arbitrary files via unspecified vectors.",[],['https://www.vmware.com/security/advisories/VMSA-2012-0018.html']
CVE-2012-6324,https://www.cvedetails.com/cve/CVE-2012-6324/,CWE-22,Dir. Trav.,2012-12-21,2018-12-06,4.0,None,Remote,Low,Single system,Partial,None,None,Directory traversal vulnerability in VMware vCenter Server Appliance (vCSA) 5.0 before Update 2 and 5.1 before Patch 1 allows remote authenticated users to read arbitrary files via unspecified vectors.,[],['https://www.vmware.com/security/advisories/VMSA-2012-0018.html']
CVE-2012-6314,https://www.cvedetails.com/cve/CVE-2012-6314/,,,2012-12-26,2017-08-28,5.0,None,Remote,Low,Not required,None,Partial,Partial,"Citrix XenDesktop Virtual Desktop Agent (VDA) 5.6.x before 5.6.200, when making changes to the server-side policy that control USB redirection, does not propagate changes to the VDA, which allows authenticated users to retain access to the USB device.",[],"['http://www.securitytracker.com/id?1027869', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/80626', 'http://www.securityfocus.com/bid/56908', 'http://support.citrix.com/article/CTX135813']"
CVE-2012-6313,https://www.cvedetails.com/cve/CVE-2012-6313/,CWE-200,+Info,2012-12-11,2012-12-11,5.0,None,Remote,Low,Not required,Partial,None,None,"simple-gmail-login.php in the Simple Gmail Login plugin before 1.1.4 for WordPress allows remote attackers to obtain sensitive information via a request that lacks a timezone, leading to disclosure of the installation path in a stack trace.",[],"['https://wordpress.org/extend/plugins/simple-gmail-login/changelog/', 'http://archives.neohapsis.com/archives/bugtraq/2012-12/0061.html']"
CVE-2012-6312,https://www.cvedetails.com/cve/CVE-2012-6312/,CWE-79,XSS,2012-12-11,2012-12-28,4.3,None,Remote,Medium,Not required,None,Partial,Partial,Cross-site scripting (XSS) vulnerability in the Video Lead Form plugin for WordPress allows remote attackers to inject arbitrary web script or HTML via the errMsg parameter in a video-lead-form action to wp-admin/admin.php.,[],"['https://wordpress.org/extend/plugins/video-lead-form/changelog/', 'http://archives.neohapsis.com/archives/bugtraq/2012-12/0060.html']"
CVE-2012-6301,https://www.cvedetails.com/cve/CVE-2012-6301/,CWE-20,DoS,2012-12-10,2012-12-11,5.0,None,Remote,Low,Not required,None,None,None,The Browser application in Android 4.0.3 allows remote attackers to cause a denial of service (application crash) via a crafted market: URI in the SRC attribute of an IFRAME element.,[],['http://packetstormsecurity.org/files/118539/Android-4.0.3-Browser-Crash.html']
CVE-2012-6299,https://www.cvedetails.com/cve/CVE-2012-6299/,,Bypass,2012-12-26,2018-08-13,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,"Unspecified vulnerability in CA IdentityMinder r12.0 through CR16, r12.5 before SP15, and r12.6 GA allows remote attackers to bypass intended access restrictions via unknown vectors.",[],[]
CVE-2012-6298,https://www.cvedetails.com/cve/CVE-2012-6298/,,Exec Code,2012-12-26,2018-08-13,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,"Unspecified vulnerability in CA IdentityMinder r12.0 through CR16, r12.5 before SP15, and r12.6 GA allows remote attackers to execute arbitrary commands or modify data via unknown vectors.",[],[]
CVE-2012-6271,https://www.cvedetails.com/cve/CVE-2012-6271/,,,2012-12-20,2017-11-16,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"Adobe Shockwave Player through 11.6.8.638 allows remote attackers to trigger installation of arbitrary signed Xtras via a Shockwave movie that contains an Xtra URL, as demonstrated by a URL for an outdated Xtra.",[],"['https://www.kb.cert.org/vuls/id/519137', 'https://www.kb.cert.org/vuls/id/323161']"
CVE-2012-6270,https://www.cvedetails.com/cve/CVE-2012-6270/,,,2012-12-20,2017-11-16,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"Adobe Shockwave Player through 11.6.8.638 allows remote attackers to trigger installation of a Shockwave Player 10.4.0.025 compatibility feature via a crafted HTML document that references Shockwave content with a certain compatibility parameter, related to a ""downgrading"" attack.",[],"['https://www.kb.cert.org/vuls/id/323161', 'https://www.kb.cert.org/vuls/id/546769']"
CVE-2012-6067,https://www.cvedetails.com/cve/CVE-2012-6067/,CWE-287,Bypass,2012-12-04,2012-12-05,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,"freeFTPd.exe in freeFTPd through 1.0.11 allows remote attackers to bypass authentication via a crafted SFTP session, as demonstrated by an OpenSSH client with modified versions of ssh.c and sshconnect2.c.",[],['http://archives.neohapsis.com/archives/fulldisclosure/2012-12/0011.html']
CVE-2012-6066,https://www.cvedetails.com/cve/CVE-2012-6066/,CWE-287,Bypass,2012-12-04,2012-12-05,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"freeSSHd.exe in freeSSHd through 1.2.6 allows remote attackers to bypass authentication via a crafted session, as demonstrated by an OpenSSH client with modified versions of ssh.c and sshconnect2.c.",[],['http://archives.neohapsis.com/archives/fulldisclosure/2012-12/0012.html']
CVE-2012-6065,https://www.cvedetails.com/cve/CVE-2012-6065/,,Exec Code,2012-12-03,2012-12-04,4.6,None,Remote,High,Single system,Partial,Partial,Partial,"The OM Maximenu module 6.x-1.43 and earlier for Drupal, when the ""Title has PHP"" option is enabled, allows remote authenticated users with the ""Administer OM Maximenu"" permission to execute arbitrary PHP code via a ""Link Title,"" a different vulnerability than CVE-2012-5553.",[],"['http://www.madirish.net/551', 'https://drupal.org/node/1834046', 'https://drupal.org/node/1834048']"
